,Job,Plan,CPU time,Time,Sum,CPU unit,Time unit
HM,1,0.txt,3048,4793,7841, ms,ms.
HM,1,1.txt,15825,16534,32359, ms,ms.
HM,3,0.txt,-1,-1,-1,ms,ms
HM,3,1.txt,1232,1269,2501, ms,ms.
HM,3,2.txt,1769,1784,3553, ms,ms.
HM,3,3.txt,-1,-1,-1,ms,ms
HM,3,4.txt,1291,1293,2584, ms,ms.
HM,3,5.txt,7590,7597,15187, ms,ms.
HM,3,6.txt,-1,-1,-1,ms,ms
HM,3,7.txt,1268,1276,2544, ms,ms.
HM,3,8.txt,1411,1484,2895, ms,ms.
HM,3,9.txt,1938,1976,3914, ms,ms.
HM,3,10.txt,1387,1398,2785, ms,ms.
HM,3,11.txt,1901,1920,3821, ms,ms.
HM,3,12.txt,1840,1861,3701, ms,ms.
HM,3,13.txt,-1,-1,-1,ms,ms
HM,3,14.txt,1716,1723,3439, ms,ms.
HM,3,15.txt,1314,1356,2670, ms,ms.
HM,3,16.txt,8403,8413,16816, ms,ms.
HM,3,17.txt,-1,-1,-1,ms,ms
HM,3,18.txt,1404,1461,2865, ms,ms.
HM,3,19.txt,1786,1828,3614, ms,ms.
HM,5,0.txt,2450,2515,4965, ms,ms.
HM,5,1.txt,-1,-1,-1,ms,ms
HM,5,2.txt,-1,-1,-1,ms,ms
HM,5,3.txt,2130,2148,4278, ms,ms.
HM,5,4.txt,2467,2516,4983, ms,ms.
HM,5,5.txt,2193,2197,4390, ms,ms.
HM,5,6.txt,2050,2053,4103, ms,ms.
HM,5,7.txt,6100,6679,12779, ms,ms.
HM,5,8.txt,2227,2230,4457, ms,ms.
HM,5,9.txt,1740,1778,3518, ms,ms.
HM,5,10.txt,-1,-1,-1,ms,ms
HM,5,11.txt,1687,1690,3377, ms,ms.
HM,5,12.txt,-2,-2,-2,ms,ms
HM,5,13.txt,1689,1691,3380, ms,ms.
HM,5,14.txt,-2,-2,-2,ms,ms
HM,5,15.txt,-1,-1,-1,ms,ms
HM,5,16.txt,26574,26892,53466, ms,ms.
HM,5,17.txt,-1,-1,-1,ms,ms
HM,5,18.txt,-1,-1,-1,ms,ms
HM,5,19.txt,-1,-1,-1,ms,ms
HM,6,0.txt,705,705,1410, ms,ms.
HM,6,1.txt,694,695,1389, ms,ms.
HM,10,0.txt,-1,-1,-1,ms,ms
HM,10,1.txt,1052,1058,2110, ms,ms.
HM,10,2.txt,2267,2290,4557, ms,ms.
HM,10,3.txt,-1,-1,-1,ms,ms
HM,10,4.txt,-1,-1,-1,ms,ms
HM,10,5.txt,-1,-1,-1,ms,ms
HM,10,6.txt,1215,1260,2475, ms,ms.
HM,10,7.txt,2264,2352,4616, ms,ms.
HM,10,8.txt,-1,-1,-1,ms,ms
HM,10,9.txt,4322,4338,8660, ms,ms.
HM,10,10.txt,-1,-1,-1,ms,ms
HM,10,11.txt,4474,4519,8993, ms,ms.
HM,10,12.txt,-1,-1,-1,ms,ms
HM,10,13.txt,10706,10721,21427, ms,ms.
HM,10,14.txt,-1,-1,-1,ms,ms
HM,10,15.txt,10897,10911,21808, ms,ms.
HM,10,16.txt,2371,2395,4766, ms,ms.
HM,10,17.txt,-1,-1,-1,ms,ms
HM,10,18.txt,1505,1509,3014, ms,ms.
HM,10,19.txt,31885,31922,63807, ms,ms.
HM,12,0.txt,4619,4625,9244, ms,ms.
HM,12,1.txt,1329,1329,2658, ms,ms.
HM,12,2.txt,1258,1260,2518, ms,ms.
HM,12,3.txt,1476,1506,2982, ms,ms.
HM,12,4.txt,1176,1180,2356, ms,ms.
HM,12,5.txt,1555,1564,3119, ms,ms.
HM,12,6.txt,1292,1294,2586, ms,ms.
HM,12,7.txt,4583,4586,9169, ms,ms.
HM,12,8.txt,1156,1157,2313, ms,ms.
HM,12,9.txt,1228,1227,2455, ms,ms.
HM,12,10.txt,1114,1117,2231, ms,ms.
HM,12,11.txt,1182,1186,2368, ms,ms.
HM,14,0.txt,950,1028,1978, ms,ms.
HM,14,1.txt,1109,1110,2219, ms,ms.
HM,14,2.txt,870,877,1747, ms,ms.
HM,14,3.txt,913,913,1826, ms,ms.
HM,14,4.txt,-1,-1,-1,ms,ms
HM,14,5.txt,824,827,1651, ms,ms.
HM,14,6.txt,-1,-1,-1,ms,ms
HM,14,7.txt,1143,1145,2288, ms,ms.
HM,14,8.txt,856,856,1712, ms,ms.
HM,14,9.txt,1002,1002,2004, ms,ms.
HM,14,10.txt,1036,1037,2073, ms,ms.
HM,14,11.txt,844,845,1689, ms,ms.
