,Job,Plan,CPU time,Time,Sum,CPU unit,Time unit
HM,Job181v2,0.txt,-1,-1,-1,ms,ms
HM,Job181v2,1.txt,3392,3398,6790, ms,ms.
HM,Job181v2,2.txt,4878,4884,9762, ms,ms.
HM,Job181v2,3.txt,-1,-1,-1,ms,ms
HM,Job181v2,4.txt,-1,-1,-1,ms,ms
HM,Job181v2,5.txt,5202,5217,10419, ms,ms.
HM,Job181v2,6.txt,-1,-1,-1,ms,ms
HM,Job181v2,7.txt,-1,-1,-1,ms,ms
HM,Job181v2,8.txt,-1,-1,-1,ms,ms
HM,Job181v2,9.txt,19060,19324,38384, ms,ms.
HM,Job181v2,10.txt,10980,10991,21971, ms,ms.
HM,Job181v2,11.txt,-1,-1,-1,ms,ms
HM,Job181v2,12.txt,-1,-1,-1,ms,ms
HM,Job181v2,13.txt,9497,9510,19007, ms,ms.
HM,Job181v2,14.txt,-1,-1,-1,ms,ms
HM,Job181v2,15.txt,-1,-1,-1,ms,ms
HM,Job181v2,16.txt,-1,-1,-1,ms,ms
HM,Job181v2,17.txt,4826,4836,9662, ms,ms.
HM,Job181v2,18.txt,-1,-1,-1,ms,ms
HM,Job181v2,19.txt,-1,-1,-1,ms,ms
HM,Job1157v0,0.txt,-1,-1,-1,ms,ms
HM,Job1157v0,1.txt,13366,13456,26822, ms,ms.
HM,Job1157v0,2.txt,-1,-1,-1,ms,ms
HM,Job1157v0,3.txt,-1,-1,-1,ms,ms
HM,Job1157v0,4.txt,-1,-1,-1,ms,ms
HM,Job1157v0,5.txt,8886,9030,17916, ms,ms.
HM,Job1157v0,6.txt,9491,9494,18985, ms,ms.
HM,Job1157v0,7.txt,-1,-1,-1,ms,ms
HM,Job1157v0,8.txt,-1,-1,-1,ms,ms
HM,Job1157v0,9.txt,-1,-1,-1,ms,ms
HM,Job1157v0,10.txt,-1,-1,-1,ms,ms
HM,Job1157v0,11.txt,25999,26494,52493, ms,ms.
HM,Job1157v0,12.txt,7433,7470,14903, ms,ms.
HM,Job1157v0,13.txt,-1,-1,-1,ms,ms
HM,Job1157v0,14.txt,-1,-1,-1,ms,ms
HM,Job1157v0,15.txt,36287,36472,72759, ms,ms.
HM,Job1157v0,16.txt,8089,8130,16219, ms,ms.
HM,Job1157v0,17.txt,67169,67188,134357, ms,ms.
HM,Job1157v0,18.txt,-1,-1,-1,ms,ms
HM,Job1157v0,19.txt,9870,9888,19758, ms,ms.
HM,Job1031v2,0.txt,210439,210569,421008, ms,ms.
HM,Job1031v2,1.txt,-1,-1,-1,ms,ms
HM,Job1031v2,2.txt,-1,-1,-1,ms,ms
HM,Job1031v2,3.txt,-1,-1,-1,ms,ms
HM,Job1031v2,4.txt,13687,13694,27381, ms,ms.
HM,Job1031v2,5.txt,91942,95266,187208, ms,ms.
HM,Job1031v2,6.txt,-1,-1,-1,ms,ms
HM,Job1031v2,7.txt,-1,-1,-1,ms,ms
HM,Job1031v2,8.txt,-1,-1,-1,ms,ms
HM,Job1031v2,9.txt,14012,14136,28148, ms,ms.
HM,Job1031v2,10.txt,-1,-1,-1,ms,ms
HM,Job1031v2,11.txt,-1,-1,-1,ms,ms
HM,Job1031v2,12.txt,7405,7411,14816, ms,ms.
HM,Job1031v2,13.txt,-1,-1,-1,ms,ms
HM,Job1031v2,14.txt,-1,-1,-1,ms,ms
HM,Job1031v2,15.txt,-1,-1,-1,ms,ms
HM,Job1031v2,16.txt,55440,55455,110895, ms,ms.
HM,Job1031v2,17.txt,-1,-1,-1,ms,ms
HM,Job1031v2,18.txt,-1,-1,-1,ms,ms
HM,Job1031v2,19.txt,-1,-1,-1,ms,ms
HM,Job68v1,0.txt,38950,40731,79681, ms,ms.
HM,Job68v1,1.txt,71325,72966,144291, ms,ms.
HM,Job68v1,2.txt,61473,61673,123146, ms,ms.
HM,Job68v1,3.txt,49023,49384,98407, ms,ms.
HM,Job68v1,4.txt,2094,2101,4195, ms,ms.
HM,Job68v1,5.txt,105200,105256,210456, ms,ms.
HM,Job68v1,6.txt,27124,27131,54255, ms,ms.
HM,Job68v1,7.txt,21440,21447,42887, ms,ms.
HM,Job68v1,8.txt,27262,27343,54605, ms,ms.
HM,Job68v1,9.txt,35196,35200,70396, ms,ms.
HM,Job68v1,10.txt,12606,12615,25221, ms,ms.
HM,Job68v1,11.txt,77658,78833,156491, ms,ms.
HM,Job68v1,12.txt,33810,35344,69154, ms,ms.
HM,Job68v1,13.txt,29631,29972,59603, ms,ms.
HM,Job68v1,14.txt,4694,4949,9643, ms,ms.
HM,Job68v1,15.txt,41428,41943,83371, ms,ms.
HM,Job68v1,16.txt,61314,61469,122783, ms,ms.
HM,Job68v1,17.txt,-1,-1,-1,ms,ms
HM,Job68v1,18.txt,30051,30054,60105, ms,ms.
HM,Job68v1,19.txt,32114,33356,65470, ms,ms.
HM,Job1009v4,0.txt,-2,-2,-2,ms,ms
HM,Job1009v4,1.txt,-2,-2,-2,ms,ms
HM,Job1009v4,2.txt,-2,-2,-2,ms,ms
HM,Job1009v4,3.txt,-2,-2,-2,ms,ms
HM,Job1009v4,4.txt,-2,-2,-2,ms,ms
HM,Job1009v4,5.txt,-2,-2,-2,ms,ms
