,Job,Plan,CPU time,Time,Sum,CPU unit,Time unit
HM,Job1006v1,0.txt,10686,10723,21409, ms,ms.
HM,Job1006v1,1.txt,-1,-1,-1,ms,ms
HM,Job1006v1,2.txt,-1,-1,-1,ms,ms
HM,Job1006v1,3.txt,9842,9866,19708, ms,ms.
HM,Job1006v1,4.txt,-1,-1,-1,ms,ms
HM,Job1006v1,5.txt,-1,-1,-1,ms,ms
HM,Job1006v1,6.txt,-1,-1,-1,ms,ms
HM,Job1006v1,7.txt,-1,-1,-1,ms,ms
HM,Job1006v1,8.txt,16953,18019,34972, ms,ms.
HM,Job1006v1,9.txt,-1,-1,-1,ms,ms
HM,Job1006v1,10.txt,-1,-1,-1,ms,ms
HM,Job1006v1,11.txt,-1,-1,-1,ms,ms
HM,Job1006v1,12.txt,-1,-1,-1,ms,ms
HM,Job1006v1,13.txt,7228,7238,14466, ms,ms.
HM,Job1006v1,14.txt,10780,10798,21578, ms,ms.
HM,Job1006v1,15.txt,-1,-1,-1,ms,ms
HM,Job1006v1,16.txt,11177,11193,22370, ms,ms.
HM,Job1006v1,17.txt,-1,-1,-1,ms,ms
HM,Job1006v1,18.txt,-1,-1,-1,ms,ms
HM,Job1006v1,19.txt,-1,-1,-1,ms,ms
HM,Job1014v3,0.txt,26588,26603,53191, ms,ms.
HM,Job1014v3,1.txt,-1,-1,-1,ms,ms
HM,Job1014v3,2.txt,-1,-1,-1,ms,ms
HM,Job1014v3,3.txt,-1,-1,-1,ms,ms
HM,Job1014v3,4.txt,30473,32316,62789, ms,ms.
HM,Job1014v3,5.txt,-1,-1,-1,ms,ms
HM,Job1014v3,6.txt,34881,34901,69782, ms,ms.
HM,Job1014v3,7.txt,14000,14289,28289, ms,ms.
HM,Job1014v3,8.txt,-1,-1,-1,ms,ms
HM,Job1014v3,9.txt,-1,-1,-1,ms,ms
HM,Job1014v3,10.txt,90376,90432,180808, ms,ms.
HM,Job1014v3,11.txt,47370,47398,94768, ms,ms.
HM,Job1014v3,12.txt,42133,42159,84292, ms,ms.
HM,Job1014v3,13.txt,3645,4048,7693, ms,ms.
HM,Job1014v3,14.txt,109210,109291,218501, ms,ms.
HM,Job1014v3,15.txt,-1,-1,-1,ms,ms
HM,Job1014v3,16.txt,79297,79339,158636, ms,ms.
HM,Job1014v3,17.txt,66490,66997,133487, ms,ms.
HM,Job1014v3,18.txt,125480,125552,251032, ms,ms.
HM,Job1014v3,19.txt,-1,-1,-1,ms,ms
HM,Job185v2,0.txt,-1,-1,-1,ms,ms
HM,Job185v2,1.txt,-1,-1,-1,ms,ms
HM,Job185v2,2.txt,-1,-1,-1,ms,ms
HM,Job185v2,3.txt,-1,-1,-1,ms,ms
HM,Job185v2,4.txt,-1,-1,-1,ms,ms
HM,Job185v2,5.txt,-1,-1,-1,ms,ms
HM,Job185v2,6.txt,-1,-1,-1,ms,ms
HM,Job185v2,7.txt,-1,-1,-1,ms,ms
HM,Job185v2,8.txt,-1,-1,-1,ms,ms
HM,Job185v2,9.txt,-1,-1,-1,ms,ms
HM,Job185v2,10.txt,-1,-1,-1,ms,ms
HM,Job185v2,11.txt,-1,-1,-1,ms,ms
HM,Job185v2,12.txt,-1,-1,-1,ms,ms
HM,Job185v2,13.txt,-1,-1,-1,ms,ms
HM,Job185v2,14.txt,-1,-1,-1,ms,ms
HM,Job185v2,15.txt,-1,-1,-1,ms,ms
HM,Job185v2,16.txt,-1,-1,-1,ms,ms
HM,Job185v2,17.txt,-1,-1,-1,ms,ms
HM,Job185v2,18.txt,-1,-1,-1,ms,ms
HM,Job185v2,19.txt,-1,-1,-1,ms,ms
HM,Job9v4,0.txt,12284,12360,24644, ms,ms.
HM,Job9v4,1.txt,1850,1897,3747, ms,ms.
HM,Job9v4,2.txt,-1,-1,-1,ms,ms
HM,Job9v4,3.txt,15099,15265,30364, ms,ms.
HM,Job9v4,4.txt,13234,13319,26553, ms,ms.
HM,Job9v4,5.txt,12241,12312,24553, ms,ms.
HM,Job9v4,6.txt,12192,12301,24493, ms,ms.
HM,Job9v4,7.txt,9254,9296,18550, ms,ms.
HM,Job9v4,8.txt,10921,10988,21909, ms,ms.
HM,Job9v4,9.txt,8515,8555,17070, ms,ms.
HM,Job9v4,10.txt,1857,1881,3738, ms,ms.
HM,Job9v4,11.txt,1842,1865,3707, ms,ms.
HM,Job9v4,12.txt,12330,12412,24742, ms,ms.
HM,Job9v4,13.txt,-1,-1,-1,ms,ms
HM,Job9v4,14.txt,-1,-1,-1,ms,ms
HM,Job9v4,15.txt,13403,13474,26877, ms,ms.
HM,Job9v4,16.txt,1830,1851,3681, ms,ms.
HM,Job9v4,17.txt,15636,15946,31582, ms,ms.
HM,Job9v4,18.txt,9302,9338,18640, ms,ms.
HM,Job9v4,19.txt,12164,12204,24368, ms,ms.
HM,Job228v1,0.txt,12628,12638,25266, ms,ms.
HM,Job228v1,1.txt,-1,-1,-1,ms,ms
HM,Job228v1,2.txt,-1,-1,-1,ms,ms
HM,Job228v1,3.txt,13500,13566,27066, ms,ms.
HM,Job228v1,4.txt,13626,13644,27270, ms,ms.
HM,Job228v1,5.txt,12742,12750,25492, ms,ms.
HM,Job228v1,6.txt,7840,7850,15690, ms,ms.
HM,Job228v1,7.txt,6800,6804,13604, ms,ms.
HM,Job228v1,8.txt,-1,-1,-1,ms,ms
HM,Job228v1,9.txt,-1,-1,-1,ms,ms
HM,Job228v1,10.txt,-1,-1,-1,ms,ms
HM,Job228v1,11.txt,-1,-1,-1,ms,ms
HM,Job228v1,12.txt,-1,-1,-1,ms,ms
HM,Job228v1,13.txt,55761,55790,111551, ms,ms.
HM,Job228v1,14.txt,21986,22622,44608, ms,ms.
HM,Job228v1,15.txt,-1,-1,-1,ms,ms
HM,Job228v1,16.txt,-1,-1,-1,ms,ms
HM,Job228v1,17.txt,-1,-1,-1,ms,ms
HM,Job228v1,18.txt,57045,57108,114153, ms,ms.
HM,Job228v1,19.txt,-1,-1,-1,ms,ms
HM,Job44v3,0.txt,-1,-1,-1,ms,ms
HM,Job44v3,1.txt,-1,-1,-1,ms,ms
HM,Job44v3,2.txt,-1,-1,-1,ms,ms
HM,Job44v3,3.txt,-1,-1,-1,ms,ms
HM,Job44v3,4.txt,-1,-1,-1,ms,ms
HM,Job44v3,5.txt,277557,307102,584659, ms,ms.
HM,Job44v3,6.txt,94197,104361,198558, ms,ms.
HM,Job44v3,7.txt,53989,63653,117642, ms,ms.
HM,Job44v3,8.txt,-1,-1,-1,ms,ms
HM,Job44v3,9.txt,137028,144127,281155, ms,ms.
HM,Job44v3,10.txt,-1,-1,-1,ms,ms
HM,Job44v3,11.txt,137325,144567,281892, ms,ms.
HM,Job44v3,12.txt,-1,-1,-1,ms,ms
HM,Job44v3,13.txt,-1,-1,-1,ms,ms
HM,Job44v3,14.txt,334213,361821,696034, ms,ms.
HM,Job44v3,15.txt,82583,94114,176697, ms,ms.
HM,Job44v3,16.txt,80830,90890,171720, ms,ms.
HM,Job44v3,17.txt,170909,178598,349507, ms,ms.
HM,Job44v3,18.txt,94362,109036,203398, ms,ms.
HM,Job44v3,19.txt,-1,-1,-1,ms,ms
HM,Job6v1,0.txt,14112,14192,28304, ms,ms.
HM,Job6v1,1.txt,-1,-1,-1,ms,ms
HM,Job6v1,2.txt,-1,-1,-1,ms,ms
HM,Job6v1,3.txt,-1,-1,-1,ms,ms
HM,Job6v1,4.txt,-1,-1,-1,ms,ms
HM,Job6v1,5.txt,31172,31321,62493, ms,ms.
HM,Job6v1,6.txt,17885,18023,35908, ms,ms.
HM,Job6v1,7.txt,20442,20537,40979, ms,ms.
HM,Job6v1,8.txt,24665,24801,49466, ms,ms.
HM,Job6v1,9.txt,-1,-1,-1,ms,ms
HM,Job6v1,10.txt,-1,-1,-1,ms,ms
HM,Job6v1,11.txt,-1,-1,-1,ms,ms
HM,Job6v1,12.txt,-1,-1,-1,ms,ms
HM,Job6v1,13.txt,150594,172065,322659, ms,ms.
HM,Job6v1,14.txt,24641,24786,49427, ms,ms.
HM,Job6v1,15.txt,15686,15796,31482, ms,ms.
HM,Job6v1,16.txt,-1,-1,-1,ms,ms
HM,Job6v1,17.txt,130524,144128,274652, ms,ms.
HM,Job6v1,18.txt,-1,-1,-1,ms,ms
HM,Job6v1,19.txt,5537,5651,11188, ms,ms.
HM,Job6v2,0.txt,54391,58540,112931, ms,ms.
HM,Job6v2,1.txt,-1,-1,-1,ms,ms
HM,Job6v2,2.txt,63268,66638,129906, ms,ms.
HM,Job6v2,3.txt,-1,-1,-1,ms,ms
HM,Job6v2,4.txt,-1,-1,-1,ms,ms
HM,Job6v2,5.txt,-1,-1,-1,ms,ms
HM,Job6v2,6.txt,55103,58714,113817, ms,ms.
HM,Job6v2,7.txt,28713,33465,62178, ms,ms.
HM,Job6v2,8.txt,-1,-1,-1,ms,ms
HM,Job6v2,9.txt,-1,-1,-1,ms,ms
HM,Job6v2,10.txt,42439,48373,90812, ms,ms.
HM,Job6v2,11.txt,153421,160003,313424, ms,ms.
HM,Job6v2,12.txt,-1,-1,-1,ms,ms
HM,Job6v2,13.txt,-1,-1,-1,ms,ms
HM,Job6v2,14.txt,-1,-1,-1,ms,ms
HM,Job6v2,15.txt,68674,71998,140672, ms,ms.
HM,Job6v2,16.txt,-1,-1,-1,ms,ms
HM,Job6v2,17.txt,-1,-1,-1,ms,ms
HM,Job6v2,18.txt,-1,-1,-1,ms,ms
HM,Job6v2,19.txt,-1,-1,-1,ms,ms
HM,Job76v4,0.txt,-1,-1,-1,ms,ms
HM,Job76v4,1.txt,-1,-1,-1,ms,ms
HM,Job76v4,2.txt,-1,-1,-1,ms,ms
HM,Job76v4,3.txt,74812,75850,150662, ms,ms.
HM,Job76v4,4.txt,5226,5311,10537, ms,ms.
HM,Job76v4,5.txt,81892,82358,164250, ms,ms.
HM,Job76v4,6.txt,32013,32115,64128, ms,ms.
HM,Job76v4,7.txt,35425,35578,71003, ms,ms.
HM,Job76v4,8.txt,-1,-1,-1,ms,ms
HM,Job76v4,9.txt,29890,30016,59906, ms,ms.
HM,Job76v4,10.txt,44835,44990,89825, ms,ms.
HM,Job76v4,11.txt,-1,-1,-1,ms,ms
HM,Job76v4,12.txt,5278,5326,10604, ms,ms.
HM,Job76v4,13.txt,14720,14790,29510, ms,ms.
HM,Job76v4,14.txt,-1,-1,-1,ms,ms
HM,Job76v4,15.txt,-1,-1,-1,ms,ms
HM,Job76v4,16.txt,79977,80266,160243, ms,ms.
HM,Job76v4,17.txt,-1,-1,-1,ms,ms
HM,Job76v4,18.txt,34775,34891,69666, ms,ms.
