=== SUMMARY: ALL COMPARABLE QUERIES ===
Includes queries where at least one model executed successfully (other may have timed out or bad plan)
Total queries compared: 127 of 133
runtime_tpchd_SQLServer_testonMac faster: 111 queries (87.4%)
runtime_tpchd_trainonMac_testonMac faster: 16 queries (12.6%)
Winner: runtime_tpchd_SQLServer_testonMac — faster on 111 of 127 comparable queries (87.4%)

=== SUMMARY: HEAD-TO-HEAD (BOTH MODELS EXECUTED SUCCESSFULLY) ===
Excludes any query where either model timed out or produced a bad plan
Total queries where both executed: 63 of 133
runtime_tpchd_SQLServer_testonMac faster: 48 queries (76.2%)
runtime_tpchd_trainonMac_testonMac faster: 15 queries (23.8%)
Winner: runtime_tpchd_SQLServer_testonMac — faster on 48 of 63 head-to-head queries (76.2%)

Query,runtime_tpchd_SQLServer_testonMac Runtime (ms),runtime_tpchd_trainonMac_testonMac Runtime (ms),Faster Model,Difference
Job1000v1,"6,420","24,161",runtime_tpchd_SQLServer_testonMac,"17,741 ms faster"
Job1000v4,"78,324","128,773",runtime_tpchd_SQLServer_testonMac,"50,449 ms faster"
Job1002v4,"1,792","3,395",runtime_tpchd_SQLServer_testonMac,"1,603 ms faster"
Job1006v0,"4,888",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1006v1,"1,388",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1009v4,0,Bad Plan,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Bad Plan)
Job1011v2,"492,476",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1011v4,"94,926",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1013v2,"6,211","7,440",runtime_tpchd_SQLServer_testonMac,"1,229 ms faster"
Job1013v3,"3,079",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1013v4,"2,552",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1014v2,"10,571",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1014v3,"25,076","83,734",runtime_tpchd_SQLServer_testonMac,"58,658 ms faster"
Job1017v1,"76,590","54,925",runtime_tpchd_trainonMac_testonMac,"21,665 ms faster"
Job1017v3,"92,106",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1021v0,"7,608",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1021v1,Timeout,Timeout,N/A (both failed or missing),
Job1021v2,"37,672",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1021v4,"2,791",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1025v0,"6,294",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1028v2,"1,038,855","227,283",runtime_tpchd_trainonMac_testonMac,"811,572 ms faster"
Job1029v2,"3,886","10,448",runtime_tpchd_SQLServer_testonMac,"6,562 ms faster"
Job1031v2,"3,759",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1032v0,"13,224",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1033v4,"327,213",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1034v0,"72,353",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1034v4,Timeout,Timeout,N/A (both failed or missing),
Job1035v4,"34,184","38,577",runtime_tpchd_SQLServer_testonMac,"4,393 ms faster"
Job1037v0,"433,260","689,117",runtime_tpchd_SQLServer_testonMac,"255,857 ms faster"
Job1041v0,"17,718",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1041v1,"3,303",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1041v4,"1,097","1,345",runtime_tpchd_SQLServer_testonMac,248 ms faster
Job1055v2,"13,759",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1073v2,"14,207","64,921",runtime_tpchd_SQLServer_testonMac,"50,714 ms faster"
Job1078v2,"9,393",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1101v0,"12,910","20,893",runtime_tpchd_SQLServer_testonMac,"7,983 ms faster"
Job1103v3,Timeout,Timeout,N/A (both failed or missing),
Job1126v2,"15,098","10,866",runtime_tpchd_trainonMac_testonMac,"4,232 ms faster"
Job1131v1,"106,162",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1157v0,"2,994",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1157v2,0,Bad Plan,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Bad Plan)
Job1171v1,"35,306",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1171v3,"145,253",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1234v3,"492,643",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1236v1,"503,416",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1236v3,"7,209",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1251v1,"8,624","11,280",runtime_tpchd_SQLServer_testonMac,"2,656 ms faster"
Job1252v0,"8,068","2,988",runtime_tpchd_trainonMac_testonMac,"5,080 ms faster"
Job1252v1,"206,939",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1255v0,0,Bad Plan,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Bad Plan)
Job1255v3,"3,194",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1255v4,"8,569",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job128v0,"47,081","37,639",runtime_tpchd_trainonMac_testonMac,"9,442 ms faster"
Job128v4,Timeout,"1,405,112",runtime_tpchd_trainonMac_testonMac,runtime_tpchd_SQLServer_testonMac failed (Timeout)
Job1300v2,Timeout,Timeout,N/A (both failed or missing),
Job1325v0,"4,330",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1325v3,Timeout,Timeout,N/A (both failed or missing),
Job1337v3,"1,391",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job1461v3,"5,603","4,162",runtime_tpchd_trainonMac_testonMac,"1,441 ms faster"
Job161v0,"966,113",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job161v4,"48,611",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job16v0,"329,803","428,572",runtime_tpchd_SQLServer_testonMac,"98,769 ms faster"
