=== SUMMARY: ALL COMPARABLE QUERIES ===
Includes queries where at least one model executed successfully (other may have timed out or bad plan)
Total queries compared: 124 of 133
runtime_tpchd_SQLServer_testonVM faster: 114 queries (91.9%)
runtime_tpchd_trainonMac_testonVM faster: 10 queries (8.1%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 114 of 124 comparable queries (91.9%)

=== SUMMARY: HEAD-TO-HEAD (BOTH MODELS EXECUTED SUCCESSFULLY) ===
Excludes any query where either model timed out or produced a bad plan
Total queries where both executed: 50 of 133
"Mean difference (n=50): 53,911.86 ms"
"Median difference (n=50): 9,858.50 ms"
runtime_tpchd_SQLServer_testonVM faster: 43 queries (86.0%)
runtime_tpchd_trainonMac_testonVM faster: 7 queries (14.0%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 43 of 50 head-to-head queries (86.0%)

Query,runtime_tpchd_SQLServer_testonVM Runtime (ms),runtime_tpchd_trainonMac_testonVM Runtime (ms),Faster Model,Difference
Job1000v1,"8,567","56,928",runtime_tpchd_SQLServer_testonVM,"48,361 ms faster"
Job1000v4,"93,061",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1002v4,"2,777",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1006v0,"6,986","14,016",runtime_tpchd_SQLServer_testonVM,"7,030 ms faster"
Job1006v1,"2,077",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1009v4,0,Bad Plan,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Bad Plan)
Job1011v2,"554,348",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1011v4,"118,958",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1013v2,"8,225","1,606,472",runtime_tpchd_SQLServer_testonVM,"1,598,247 ms faster"
Job1013v3,"3,572",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1013v4,"3,614","18,497",runtime_tpchd_SQLServer_testonVM,"14,883 ms faster"
Job1014v2,"13,001","44,794",runtime_tpchd_SQLServer_testonVM,"31,793 ms faster"
Job1014v3,"28,692","104,465",runtime_tpchd_SQLServer_testonVM,"75,773 ms faster"
Job1017v1,"98,376","141,330",runtime_tpchd_SQLServer_testonVM,"42,954 ms faster"
Job1017v3,"141,270",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1021v0,"9,059",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1021v1,Timeout,Timeout,N/A (both failed or missing),
Job1021v2,"47,263",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1021v4,"3,894","123,205",runtime_tpchd_SQLServer_testonVM,"119,311 ms faster"
Job1025v0,"8,943",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1028v2,Timeout,Timeout,N/A (both failed or missing),
Job1029v2,"5,063","16,018",runtime_tpchd_SQLServer_testonVM,"10,955 ms faster"
Job1031v2,"5,056",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1032v0,"12,739",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1033v4,"386,417",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1034v0,"76,968",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1034v4,Timeout,Timeout,N/A (both failed or missing),
Job1035v4,"40,293",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1037v0,"218,863",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1041v0,"19,688",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1041v1,"4,451","41,415",runtime_tpchd_SQLServer_testonVM,"36,964 ms faster"
Job1041v4,"1,649",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1055v2,"14,367",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job1073v2,"16,505",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
