=== SUMMARY: ALL COMPARABLE QUERIES ===
Includes queries where at least one model executed successfully (other may have timed out or bad plan)
Total queries compared: 125 of 133
runtime_tpchd_SQLServer_testonMac faster: 123 queries (98.4%)
runtime_tpchd_trainonVM_testonMac faster: 2 queries (1.6%)
Winner: runtime_tpchd_SQLServer_testonMac — faster on 123 of 125 comparable queries (98.4%)

=== SUMMARY: HEAD-TO-HEAD (BOTH MODELS EXECUTED SUCCESSFULLY) ===
Excludes any query where either model timed out or produced a bad plan
Total queries where both executed: 17 of 133
"Mean difference (n=17): 14,315.12 ms"
"Median difference (n=17): 8,684.00 ms"
runtime_tpchd_SQLServer_testonMac faster: 15 queries (88.2%)
runtime_tpchd_trainonVM_testonMac faster: 2 queries (11.8%)
Winner: runtime_tpchd_SQLServer_testonMac — faster on 15 of 17 head-to-head queries (88.2%)

Query,runtime_tpchd_SQLServer_testonMac Runtime (ms),runtime_tpchd_trainonVM_testonMac Runtime (ms),Faster Model,Difference
Job1000v1,"6,420",445,runtime_tpchd_trainonVM_testonMac,"-5,975 ms slower"
Job1000v4,"78,324",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1002v4,"1,792",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1006v0,"4,888",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1006v1,"1,388",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1009v4,0,Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1011v2,"492,476",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1011v4,"94,926",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1013v2,"6,211",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1013v3,"3,079",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1013v4,"2,552",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1014v2,"10,571",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1014v3,"25,076",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1017v1,"76,590",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1017v3,"92,106",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1021v0,"7,608",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1021v1,Timeout,Timeout,N/A (both failed or missing),
Job1021v2,"37,672",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1021v4,"2,791",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1025v0,"6,294","21,023",runtime_tpchd_SQLServer_testonMac,"14,729 ms faster"
Job1028v2,"1,038,855",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1029v2,"3,886",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1031v2,"3,759",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1032v0,"13,224",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1033v4,"327,213",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1034v0,"72,353",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1034v4,Timeout,Timeout,N/A (both failed or missing),
Job1035v4,"34,184",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1037v0,"433,260",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1041v0,"17,718",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1041v1,"3,303",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job1041v4,"1,097",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
