=== SUMMARY: ALL COMPARABLE QUERIES ===
Includes queries where at least one model executed successfully (other may have timed out or bad plan)
Total queries compared: 125 of 133
runtime_tpchd_SQLServer_testonVM faster: 102 queries (81.6%)
runtime_tpchd_trainonVM_testonVM faster: 23 queries (18.4%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 102 of 125 comparable queries (81.6%)

=== SUMMARY: HEAD-TO-HEAD (BOTH MODELS EXECUTED SUCCESSFULLY) ===
Excludes any query where either model timed out or produced a bad plan
Total queries where both executed: 61 of 133
"Mean difference (n=61): 18,680.70 ms"
"Median difference (n=61): 1,913.00 ms"
runtime_tpchd_SQLServer_testonVM faster: 42 queries (68.9%)
runtime_tpchd_trainonVM_testonVM faster: 19 queries (31.1%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 42 of 61 head-to-head queries (68.9%)

Query,runtime_tpchd_SQLServer_testonVM Runtime (ms),runtime_tpchd_trainonVM_testonVM Runtime (ms),Faster Model,Difference
Job1000v1,"8,567","5,564",runtime_tpchd_trainonVM_testonVM,"-3,003 ms slower"
Job1000v4,"93,061",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1002v4,"2,777","60,681",runtime_tpchd_SQLServer_testonVM,"57,904 ms faster"
Job1006v0,"6,986",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1006v1,"2,077","39,136",runtime_tpchd_SQLServer_testonVM,"37,059 ms faster"
Job1009v4,0,Bad Plan,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Bad Plan)
Job1011v2,"554,348",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1011v4,"118,958","50,262",runtime_tpchd_trainonVM_testonVM,"-68,696 ms slower"
Job1013v2,"8,225",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1013v3,"3,572",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1013v4,"3,614",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1014v2,"13,001","15,400",runtime_tpchd_SQLServer_testonVM,"2,399 ms faster"
Job1014v3,"28,692","115,279",runtime_tpchd_SQLServer_testonVM,"86,587 ms faster"
Job1017v1,"98,376","68,712",runtime_tpchd_trainonVM_testonVM,"-29,664 ms slower"
Job1017v3,"141,270",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1021v0,"9,059","63,780",runtime_tpchd_SQLServer_testonVM,"54,721 ms faster"
Job1021v1,Timeout,Timeout,N/A (both failed or missing),
Job1021v2,"47,263","104,005",runtime_tpchd_SQLServer_testonVM,"56,742 ms faster"
Job1021v4,"3,894","66,963",runtime_tpchd_SQLServer_testonVM,"63,069 ms faster"
Job1025v0,"8,943",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1028v2,Timeout,Timeout,N/A (both failed or missing),
Job1029v2,"5,063","6,976",runtime_tpchd_SQLServer_testonVM,"1,913 ms faster"
Job1031v2,"5,056",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1032v0,"12,739",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1033v4,"386,417","209,532",runtime_tpchd_trainonVM_testonVM,"-176,885 ms slower"
Job1034v0,"76,968",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1034v4,Timeout,"1,308,218",runtime_tpchd_trainonVM_testonVM,runtime_tpchd_SQLServer_testonVM failed (Timeout)
Job1035v4,"40,293","62,286",runtime_tpchd_SQLServer_testonVM,"21,993 ms faster"
Job1037v0,"218,863",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1041v0,"19,688",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1041v1,"4,451",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1041v4,"1,649",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1055v2,"14,367",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1073v2,"16,505","259,250",runtime_tpchd_SQLServer_testonVM,"242,745 ms faster"
Job1078v2,"11,658",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1101v0,"16,209","29,159",runtime_tpchd_SQLServer_testonVM,"12,950 ms faster"
Job1103v3,Timeout,Timeout,N/A (both failed or missing),
Job1126v2,"17,752","10,631",runtime_tpchd_trainonVM_testonVM,"-7,121 ms slower"
Job1131v1,"112,537",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1157v0,"3,840","4,516",runtime_tpchd_SQLServer_testonVM,676 ms faster
Job1157v2,0,Bad Plan,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Bad Plan)
Job1171v1,"44,031",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1171v3,"167,710",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1234v3,"526,788",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1236v1,"527,823",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1236v3,"9,486",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1251v1,"10,932",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1252v0,"10,914","13,786",runtime_tpchd_SQLServer_testonVM,"2,872 ms faster"
Job1252v1,"246,609","145,277",runtime_tpchd_trainonVM_testonVM,"-101,332 ms slower"
Job1255v0,0,Bad Plan,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Bad Plan)
Job1255v3,"4,351",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job1255v4,"10,521","75,483",runtime_tpchd_SQLServer_testonVM,"64,962 ms faster"
Job128v0,"60,704","59,697",runtime_tpchd_trainonVM_testonVM,"-1,007 ms slower"
