,Job,CPU time,Time,Sum,CPU unit,Time unit
DB,Job68v1,22518,22544,45062, ms,ms.
DB,Job1325v3,-1,-1,-1,ms,ms
DB,Job1078v2,9129,9393,18522, ms,ms.
DB,Job128v0,47028,47081,94109, ms,ms.
DB,Job1041v4,1097,1097,2194, ms,ms.
DB,Job253v0,1635928,1637020,3272948, ms,ms.
DB,Job68v2,755,756,1511, ms,ms.
DB,Job1325v0,4326,4330,8656, ms,ms.
DB,Job68v3,399,399,798, ms,ms.
DB,Job253v1,8716,9030,17746, ms,ms.
DB,Job1000v1,6415,6420,12835, ms,ms.
DB,Job1041v1,3301,3303,6604, ms,ms.
DB,Job75v2,3999,4279,8278, ms,ms.
DB,Job1126v2,15091,15098,30189, ms,ms.
DB,Job16v0,288137,329803,617940, ms,ms.
DB,Job253v4,-1,-1,-1,ms,ms
DB,Job1000v4,78278,78324,156602, ms,ms.
DB,Job91v2,402,402,804, ms,ms.
DB,Job1041v0,17708,17718,35426, ms,ms.
DB,Job48v1,24126,24249,48375, ms,ms.
DB,Job1006v0,4885,4888,9773, ms,ms.
DB,Job128v4,-1,-1,-1,ms,ms
DB,Job1002v4,1788,1792,3580, ms,ms.
DB,Job68v4,16111,16122,32233, ms,ms.
DB,Job1006v1,1385,1388,2773, ms,ms.
DB,Job2v2,9478,9483,18961, ms,ms.
DB,Job37v0,3512,3514,7026, ms,ms.
DB,Job1021v4,2788,2791,5579, ms,ms.
DB,Job76v4,17391,17401,34792, ms,ms.
DB,Job1025v0,6291,6294,12585, ms,ms.
DB,Job74v4,32,32,64, ms,ms.
DB,Job215v1,1248,1248,2496, ms,ms.
DB,Job228v1,1729,1729,3458, ms,ms.
DB,Job37v3,8611,8717,17328, ms,ms.
DB,Job6v4,8680,8979,17659, ms,ms.
DB,Job56v2,0,0,0, ms,ms.
DB,Job369v1,17792,17802,35594, ms,ms.
DB,Job1300v2,-1,-1,-1,ms,ms
DB,Job76v3,95384,97846,193230, ms,ms.
DB,Job49v1,45822,45859,91681, ms,ms.
DB,Job1021v2,37645,37672,75317, ms,ms.
DB,Job6v1,22448,22551,44999, ms,ms.
DB,Job369v4,72312,72364,144676, ms,ms.
DB,Job76v2,34,34,68, ms,ms.
DB,Job74v0,73,73,146, ms,ms.
DB,Job31v0,76440,82539,158979, ms,ms.
DB,Job1101v0,8711,12910,21621, ms,ms.
DB,Job74v2,5660,5775,11435, ms,ms.
DB,Job76v0,10435,10749,21184, ms,ms.
DB,Job6v3,6787,7051,13838, ms,ms.
DB,Job1021v0,7547,7608,15155, ms,ms.
DB,Job237v0,85889,88117,174006, ms,ms.
DB,Job37v4,3933,3937,7870, ms,ms.
DB,Job49v2,3540,3542,7082, ms,ms.
DB,Job1021v1,-1,-1,-1,ms,ms
DB,Job6v2,50128,54557,104685, ms,ms.
DB,Job90v2,9086,9098,18184, ms,ms.
DB,Job1103v3,-1,-1,-1,ms,ms
DB,Job1073v2,14058,14207,28265, ms,ms.
DB,Job19v2,1048,1048,2096, ms,ms.
DB,Job85v3,2647,2649,5296, ms,ms.
DB,Job1034v0,72276,72353,144629, ms,ms.
DB,Job63v0,568,568,1136, ms,ms.
DB,Job63v1,11313,11332,22645, ms,ms.
DB,Job19v3,1747,1812,3559, ms,ms.
DB,Job1337v3,1389,1391,2780, ms,ms.
DB,Job1055v2,12896,13759,26655, ms,ms.
DB,Job19v1,59439,60383,119822, ms,ms.
DB,Job285v4,10990,11020,22010, ms,ms.
DB,Job63v3,8,7,15, ms,ms.
DB,Job1252v1,206766,206939,413705, ms,ms.
DB,Job58v4,43315,46981,90296, ms,ms.
DB,Job1252v0,8060,8068,16128, ms,ms.
DB,Job1171v3,145148,145253,290401, ms,ms.
DB,Job1157v0,2983,2994,5977, ms,ms.
DB,Job19v4,35312,35386,70698, ms,ms.
