,Job,CPU time,Time,Sum,CPU unit,Time unit
DB,Job1028v2,-1,-1,-1,ms,ms
DB,Job68v4,20372,20390,40762, ms,ms.
DB,Job1017v3,97495,141270,238765, ms,ms.
DB,Job185v3,505346,505601,1010947, ms,ms.
DB,Job39v3,70,70,140, ms,ms.
DB,Job228v1,2819,2819,5638, ms,ms.
DB,Job76v2,41,40,81, ms,ms.
DB,Job1009v4,0,0,0, ms,ms.
DB,Job46v2,901,904,1805, ms,ms.
DB,Job90v2,10893,10897,21790, ms,ms.
DB,Job1041v0,19684,19688,39372, ms,ms.
DB,Job1011v4,116824,118958,235782, ms,ms.
DB,Job1041v4,1648,1649,3297, ms,ms.
DB,Job6v2,55476,61076,116552, ms,ms.
DB,Job38v3,15355,15363,30718, ms,ms.
DB,Job237v0,107925,109696,217621, ms,ms.
DB,Job48v1,31332,31441,62773, ms,ms.
DB,Job369v4,84307,84329,168636, ms,ms.
DB,Job1013v2,8219,8225,16444, ms,ms.
DB,Job1126v2,17746,17752,35498, ms,ms.
DB,Job74v2,7393,7495,14888, ms,ms.
DB,Job128v4,-1,-1,-1,ms,ms
DB,Job161v4,63337,63370,126707, ms,ms.
DB,Job1461v3,6153,6659,12812, ms,ms.
DB,Job31v0,94164,100860,195024, ms,ms.
DB,Job58v4,54479,58348,112827, ms,ms.
DB,Job1101v0,12086,16209,28295, ms,ms.
DB,Job63v0,681,681,1362, ms,ms.
DB,Job253v1,8632,8891,17523, ms,ms.
DB,Job6v1,27463,27552,55015, ms,ms.
DB,Job1000v4,92964,93061,186025, ms,ms.
DB,Job181v2,2775,2847,5622, ms,ms.
DB,Job1055v2,13690,14367,28057, ms,ms.
DB,Job1035v4,40277,40293,80570, ms,ms.
DB,Job37v0,4933,4934,9867, ms,ms.
DB,Job6v3,8612,8848,17460, ms,ms.
DB,Job74v4,40,40,80, ms,ms.
DB,Job16v0,354130,411361,765491, ms,ms.
DB,Job56v2,0,0,0, ms,ms.
DB,Job1002v4,2770,2777,5547, ms,ms.
DB,Job1236v3,9479,9486,18965, ms,ms.
DB,Job38v1,41409,41443,82852, ms,ms.
DB,Job78v4,389,398,787, ms,ms.
DB,Job1157v0,3826,3840,7666, ms,ms.
DB,Job1157v2,0,0,0, ms,ms.
DB,Job1041v1,4442,4451,8893, ms,ms.
DB,Job1011v2,553996,554348,1108344, ms,ms.
DB,Job1073v2,16350,16505,32855, ms,ms.
DB,Job215v1,1849,1850,3699, ms,ms.
DB,Job1034v4,-1,-1,-1,ms,ms
DB,Job1300v2,-1,-1,-1,ms,ms
DB,Job1252v0,10900,10914,21814, ms,ms.
DB,Job253v0,-1,-1,-1,ms,ms
DB,Job39v1,1046,1045,2091, ms,ms.
DB,Job63v1,12715,12728,25443, ms,ms.
DB,Job253v4,-1,-1,-1,ms,ms
DB,Job1025v0,8937,8943,17880, ms,ms.
DB,Job37v4,4878,4882,9760, ms,ms.
DB,Job46v1,718,719,1437, ms,ms.
DB,Job85v3,3779,3780,7559, ms,ms.
DB,Job1032v0,12447,12739,25186, ms,ms.
DB,Job1034v0,76906,76968,153874, ms,ms.
