,Job,CPU time,Time,Sum,CPU unit,Time unit
HM,Job68v1,-1,-1,-1,ms,ms
HM,Job1325v3,-1,-1,-1,ms,ms
HM,Job1078v2,-1,-1,-1,ms,ms
HM,Job128v0,65677,65748,131425, ms,ms.
HM,Job1041v4,-1,-1,-1,ms,ms
HM,Job253v0,-1,-1,-1,ms,ms
HM,Job68v2,-1,-1,-1,ms,ms
HM,Job1325v0,-1,-1,-1,ms,ms
HM,Job68v3,1278,1278,2556, ms,ms.
HM,Job253v1,37465,37801,75266, ms,ms.
HM,Job1000v1,445,445,890, ms,ms.
HM,Job1041v1,-1,-1,-1,ms,ms
HM,Job75v2,7518,7824,15342, ms,ms.
HM,Job1126v2,23651,23782,47433, ms,ms.
HM,Job16v0,-1,-1,-1,ms,ms
HM,Job253v4,-1,-1,-1,ms,ms
HM,Job1000v4,-1,-1,-1,ms,ms
HM,Job91v2,266,277,543, ms,ms.
HM,Job1041v0,-1,-1,-1,ms,ms
HM,Job48v1,37529,37661,75190, ms,ms.
HM,Job1006v0,-1,-1,-1,ms,ms
HM,Job128v4,-1,-1,-1,ms,ms
HM,Job1002v4,-1,-1,-1,ms,ms
HM,Job68v4,64496,64549,129045, ms,ms.
HM,Job1006v1,-1,-1,-1,ms,ms
HM,Job2v2,-1,-1,-1,ms,ms
HM,Job37v0,22424,22518,44942, ms,ms.
HM,Job1021v4,-1,-1,-1,ms,ms
HM,Job76v4,27494,27511,55005, ms,ms.
HM,Job1025v0,20995,21023,42018, ms,ms.
HM,Job74v4,174,174,348, ms,ms.
HM,Job215v1,-1,-1,-1,ms,ms
HM,Job228v1,-1,-1,-1,ms,ms
HM,Job37v3,-1,-1,-1,ms,ms
HM,Job6v4,84868,85266,170134, ms,ms.
HM,Job56v2,-2,-2,-2,ms,ms
HM,Job369v1,24240,24266,48506, ms,ms.
HM,Job1300v2,-1,-1,-1,ms,ms
HM,Job76v3,-1,-1,-1,ms,ms
HM,Job49v1,-1,-1,-1,ms,ms
HM,Job1021v2,-1,-1,-1,ms,ms
HM,Job6v1,-1,-1,-1,ms,ms
HM,Job369v4,-1,-1,-1,ms,ms
HM,Job76v2,309,312,621, ms,ms.
HM,Job74v0,130,131,261, ms,ms.
HM,Job31v0,-1,-1,-1,ms,ms
HM,Job1101v0,-1,-1,-1,ms,ms
HM,Job74v2,-1,-1,-1,ms,ms
HM,Job76v0,-1,-1,-1,ms,ms
HM,Job6v3,-1,-1,-1,ms,ms
HM,Job1021v0,-1,-1,-1,ms,ms
HM,Job237v0,-1,-1,-1,ms,ms
HM,Job37v4,-1,-1,-1,ms,ms
HM,Job49v2,-1,-1,-1,ms,ms
HM,Job1021v1,-1,-1,-1,ms,ms
HM,Job6v2,-1,-1,-1,ms,ms
HM,Job90v2,-1,-1,-1,ms,ms
HM,Job1103v3,-1,-1,-1,ms,ms
HM,Job1073v2,-1,-1,-1,ms,ms
HM,Job19v2,-1,-1,-1,ms,ms
HM,Job85v3,-1,-1,-1,ms,ms
HM,Job1034v0,-1,-1,-1,ms,ms
HM,Job63v0,-1,-1,-1,ms,ms
HM,Job63v1,-1,-1,-1,ms,ms
HM,Job19v3,-1,-1,-1,ms,ms
HM,Job1337v3,-1,-1,-1,ms,ms
HM,Job1055v2,-1,-1,-1,ms,ms
HM,Job19v1,-1,-1,-1,ms,ms
HM,Job285v4,-1,-1,-1,ms,ms
HM,Job63v3,-1,-1,-1,ms,ms
HM,Job1252v1,-1,-1,-1,ms,ms
HM,Job58v4,-1,-1,-1,ms,ms
HM,Job1252v0,-1,-1,-1,ms,ms
HM,Job1171v3,-1,-1,-1,ms,ms
HM,Job1157v0,-1,-1,-1,ms,ms
HM,Job19v4,-1,-1,-1,ms,ms
HM,Job1032v0,-1,-1,-1,ms,ms
HM,Job1014v3,-1,-1,-1,ms,ms
HM,Job39v1,-1,-1,-1,ms,ms
HM,Job1014v2,-1,-1,-1,ms,ms
HM,Job1029v2,-1,-1,-1,ms,ms
HM,Job78v4,-1,-1,-1,ms,ms
HM,Job39v3,-1,-1,-1,ms,ms
HM,Job1009v4,-1,-1,-1,ms,ms
HM,Job58v2,-1,-1,-1,ms,ms
HM,Job1034v4,-1,-1,-1,ms,ms
HM,Job1171v1,-1,-1,-1,ms,ms
HM,Job1157v2,-1,-1,-1,ms,ms
HM,Job25v1,-1,-1,-1,ms,ms
HM,Job46v2,-1,-1,-1,ms,ms
HM,Job1461v3,-1,-1,-1,ms,ms
HM,Job9v3,-1,-1,-1,ms,ms
HM,Job79v0,-1,-1,-1,ms,ms
HM,Job1011v2,-1,-1,-1,ms,ms
HM,Job1037v0,-1,-1,-1,ms,ms
HM,Job221v0,-1,-1,-1,ms,ms
HM,Job59v4,-1,-1,-1,ms,ms
HM,Job1033v4,-1,-1,-1,ms,ms
HM,Job161v4,-1,-1,-1,ms,ms
HM,Job46v3,-1,-1,-1,ms,ms
HM,Job46v1,-1,-1,-1,ms,ms
HM,Job1131v1,-1,-1,-1,ms,ms
HM,Job44v3,-1,-1,-1,ms,ms
HM,Job1013v3,-1,-1,-1,ms,ms
HM,Job1255v4,-1,-1,-1,ms,ms
